station,date,nhrh_pred_lwmwet_1_tot
AHTI4,2020-01-01,300
OSTI4,2020-01-01,0
GVNI4,2020-01-01,0
BNKI4,2020-01-01,900
OSTI4,2020-01-02,0
BNKI4,2020-01-02,60
GVNI4,2020-01-02,120
AHTI4,2020-01-02,0
AHTI4,2020-01-03,360
GVNI4,2020-01-03,540
BNKI4,2020-01-03,780
OSTI4,2020-01-03,780
GVNI4,2020-01-04,0
OSTI4,2020-01-04,780
AHTI4,2020-01-04,960
BNKI4,2020-01-04,900
GVNI4,2020-01-05,0
AHTI4,2020-01-05,0
BNKI4,2020-01-05,780
OSTI4,2020-01-05,60
AHTI4,2020-01-06,540
OSTI4,2020-01-06,360
BNKI4,2020-01-06,120
GVNI4,2020-01-06,0
AHTI4,2020-01-07,0
GVNI4,2020-01-07,0
OSTI4,2020-01-07,120
BNKI4,2020-01-07,240
GVNI4,2020-01-08,0
OSTI4,2020-01-08,0
BNKI4,2020-01-08,0
AHTI4,2020-01-08,0
AHTI4,2020-01-09,0
GVNI4,2020-01-09,0
BNKI4,2020-01-09,0
OSTI4,2020-01-09,0
GVNI4,2020-01-10,420
BNKI4,2020-01-10,780
OSTI4,2020-01-10,660
AHTI4,2020-01-10,60
OSTI4,2020-01-11,600
GVNI4,2020-01-11,60
BNKI4,2020-01-11,540
AHTI4,2020-01-11,0
GVNI4,2020-01-12,600
OSTI4,2020-01-12,660
BNKI4,2020-01-12,120
AHTI4,2020-01-12,0
BNKI4,2020-01-13,1080
GVNI4,2020-01-13,1440
AHTI4,2020-01-13,1440
OSTI4,2020-01-13,1380
AHTI4,2020-01-14,780
GVNI4,2020-01-14,900
BNKI4,2020-01-14,1080
OSTI4,2020-01-14,1020
OSTI4,2020-01-15,1260
GVNI4,2020-01-15,720
BNKI4,2020-01-15,1440
AHTI4,2020-01-15,1020
OSTI4,2020-01-16,0
GVNI4,2020-01-16,0
AHTI4,2020-01-16,0
BNKI4,2020-01-16,60
OSTI4,2020-01-17,420
GVNI4,2020-01-17,720
AHTI4,2020-01-17,420
BNKI4,2020-01-17,240
BNKI4,2020-01-18,1140
AHTI4,2020-01-18,1020
GVNI4,2020-01-18,600
OSTI4,2020-01-18,840
AHTI4,2020-01-19,0
BNKI4,2020-01-19,0
GVNI4,2020-01-19,0
OSTI4,2020-01-19,0
OSTI4,2020-01-20,0
BNKI4,2020-01-20,0
GVNI4,2020-01-20,0
AHTI4,2020-01-20,0
OSTI4,2020-01-21,60
BNKI4,2020-01-21,780
GVNI4,2020-01-21,0
AHTI4,2020-01-21,0
AHTI4,2020-01-22,540
BNKI4,2020-01-22,360
GVNI4,2020-01-22,900
OSTI4,2020-01-22,300
GVNI4,2020-01-23,1440
BNKI4,2020-01-23,1320
OSTI4,2020-01-23,1440
AHTI4,2020-01-23,1440
GVNI4,2020-01-24,1440
BNKI4,2020-01-24,1440
OSTI4,2020-01-24,1440
AHTI4,2020-01-24,1440
BNKI4,2020-01-25,1260
GVNI4,2020-01-25,1140
OSTI4,2020-01-25,1020
AHTI4,2020-01-25,900
OSTI4,2020-01-26,1320
BNKI4,2020-01-26,1200
GVNI4,2020-01-26,1260
AHTI4,2020-01-26,1200
GVNI4,2020-01-27,900
BNKI4,2020-01-27,1140
OSTI4,2020-01-27,1380
AHTI4,2020-01-27,1320
AHTI4,2020-01-28,1440
OSTI4,2020-01-28,1440
GVNI4,2020-01-28,1080
BNKI4,2020-01-28,1320
GVNI4,2020-01-29,1020
BNKI4,2020-01-29,1020
OSTI4,2020-01-29,1200
AHTI4,2020-01-29,960
OSTI4,2020-01-30,480
BNKI4,2020-01-30,240
AHTI4,2020-01-30,540
GVNI4,2020-01-30,720
GVNI4,2020-01-31,1260
OSTI4,2020-01-31,720
BNKI4,2020-01-31,1440
AHTI4,2020-01-31,1260
AHTI4,2020-02-01,720
GVNI4,2020-02-01,540
OSTI4,2020-02-01,1020
BNKI4,2020-02-01,1080
GVNI4,2020-02-02,0
OSTI4,2020-02-02,0
BNKI4,2020-02-02,0
AHTI4,2020-02-02,0
BNKI4,2020-02-03,840
GVNI4,2020-02-03,360
AHTI4,2020-02-03,660
OSTI4,2020-02-03,660
GVNI4,2020-02-04,0
AHTI4,2020-02-04,0
OSTI4,2020-02-04,0
BNKI4,2020-02-04,0
GVNI4,2020-02-05,0
OSTI4,2020-02-05,0
AHTI4,2020-02-05,0
BNKI4,2020-02-05,0
OSTI4,2020-02-06,120
AHTI4,2020-02-06,300
GVNI4,2020-02-06,0
BNKI4,2020-02-06,0
BNKI4,2020-02-07,0
GVNI4,2020-02-07,180
OSTI4,2020-02-07,300
AHTI4,2020-02-07,600
AHTI4,2020-02-08,120
OSTI4,2020-02-08,540
GVNI4,2020-02-08,0
BNKI4,2020-02-08,480
AHTI4,2020-02-09,0
GVNI4,2020-02-09,0
OSTI4,2020-02-09,180
BNKI4,2020-02-09,840
AHTI4,2020-02-10,480
GVNI4,2020-02-10,360
OSTI4,2020-02-10,600
BNKI4,2020-02-10,1080
AHTI4,2020-02-11,360
GVNI4,2020-02-11,0
BNKI4,2020-02-11,900
OSTI4,2020-02-11,240
GVNI4,2020-02-12,0
OSTI4,2020-02-12,240
BNKI4,2020-02-12,60
AHTI4,2020-02-12,0
AHTI4,2020-02-13,60
GVNI4,2020-02-13,0
OSTI4,2020-02-13,420
BNKI4,2020-02-13,600
OSTI4,2020-02-14,0
GVNI4,2020-02-14,0
AHTI4,2020-02-14,0
BNKI4,2020-02-14,0
GVNI4,2020-02-15,0
BNKI4,2020-02-15,0
OSTI4,2020-02-15,0
AHTI4,2020-02-15,0
BNKI4,2020-02-16,900
GVNI4,2020-02-16,0
OSTI4,2020-02-16,660
AHTI4,2020-02-16,720
AHTI4,2020-02-17,900
OSTI4,2020-02-17,1080
BNKI4,2020-02-17,480
GVNI4,2020-02-17,120
BNKI4,2020-02-18,780
GVNI4,2020-02-18,60
AHTI4,2020-02-18,180
OSTI4,2020-02-18,360
OSTI4,2020-02-19,60
AHTI4,2020-02-19,0
GVNI4,2020-02-19,360
BNKI4,2020-02-19,0
AHTI4,2020-02-20,0
OSTI4,2020-02-20,0
BNKI4,2020-02-20,0
GVNI4,2020-02-20,0
OSTI4,2020-02-21,0
BNKI4,2020-02-21,0
AHTI4,2020-02-21,0
GVNI4,2020-02-21,0
GVNI4,2020-02-22,0
BNKI4,2020-02-22,0
AHTI4,2020-02-22,0
OSTI4,2020-02-22,0
GVNI4,2020-02-23,60
OSTI4,2020-02-23,0
AHTI4,2020-02-23,360
BNKI4,2020-02-23,120
GVNI4,2020-02-24,0
BNKI4,2020-02-24,120
AHTI4,2020-02-24,0
OSTI4,2020-02-24,0
GVNI4,2020-02-25,0
OSTI4,2020-02-25,0
AHTI4,2020-02-25,0
BNKI4,2020-02-25,0
OSTI4,2020-02-26,0
GVNI4,2020-02-26,0
BNKI4,2020-02-26,0
AHTI4,2020-02-26,120
