station,valid,in_high,in_low,in_rh_min,in_rh,in_rh_max,in_solar_mj,in_precip,in_speed,in_gust,in_et,out_lwmv_1,out_lwmv_2,out_lwmdry_1_tot,out_lwmcon_1_tot,out_lwmwet_1_tot,out_lwmdry_2_tot,out_lwmcon_2_tot,out_lwmwet_2_tot,out_bpres_avg,ID,Station Name,Latitude1,Longitude1,Elevation [m],Archive Begins,Archive Ends,IEM Network,Attributes
BNKI4,737796,28.0327999999999,17132.0,94.3,98.6541684468587,99.4,5248.0,0.0,2.1362777,7.1022844,0.0048031493700787,2279.0,275.6,0.0,0.0,1440.0,182.8,589.3,668.0,607.1,BNKI4,Bankston - Park Farm Winery (Vineyard),425175,-909142,30693216,"Apr 11, 2017",,ISUSM,
BNKI4,738860,39.9937999999999,24.2528,86.7,98.362499554952,99.7,9.9,0.0,3.3621209,11.925127,0.0269685039370079,1119.0,272.6,0.0,0.0,1440.0,856.0,492.8,91.8,605.7,BNKI4,Bankston - Park Farm Winery (Vineyard),425175,-909142,30693216,"Apr 11, 2017",,ISUSM,
GVNI4,737743,60.0999997999999,33.0000000799999,0.0,0.0,0.0,7178.0,0.0,8.431027,29.41576,0.0059055118110236,176.5,271.3,1440.0,0.0,0.0,1440.0,0.0,0.0,586.1,GVNI4,Glenwood - Blackwing Vineyard,410441,-957749,36668936,"May 03, 2017",,ISUSM,
BNKI4,737777,36.6043999999999,23.5723999999999,86.7,91.9000002543132,95.7,5113.0,0.13,5.089039,14.526689,0.0153543291338583,1224.0,274.5,0.0,0.0,1440.0,746.3,693.8,0.0,605.7,BNKI4,Bankston - Park Farm Winery (Vineyard),425175,-909142,30693216,"Apr 11, 2017",,ISUSM,
BNKI4,739196,51764.0,38.5951999999999,86.0,98.1458326975505,99.7,11.992115,0.04,1.7313915,8.681564,0.0293307086614173,1086.0,347.9,0.0,0.0,1440.0,0.0,838.0,602.5,601.5,BNKI4,Bankston - Park Farm Winery (Vineyard),425175,-909142,30693216,"Apr 11, 2017",,ISUSM,
GVNI4,739260,36.9000001399999,8.40000019999995,-17.0,0.0141666657291353,51.0,6432.0,0.0,6.1292157,18.342909,0.0024409448818897,186.7,258.0,1440.0,0.0,0.0,1440.0,0.0,0.0,608.8,GVNI4,Glenwood - Blackwing Vineyard,410441,-957749,36668936,"May 03, 2017",,ISUSM,
BNKI4,737792,23864.0,15.2779999999999,99.3,99.3666687011719,99.4,3681.0,0.0,1.270582,7.5407248,0.0083464566929133,2415.0,275.7,0.0,0.0,1440.0,381.5,685.8,372.8,607.5,BNKI4,Bankston - Park Farm Winery (Vineyard),425175,-909142,30693216,"Apr 11, 2017",,ISUSM,
BNKI4,739121,77.8099999999999,56.1919999999999,53.25,83.2241659164429,99.8,17.15,0.0,1.7537609,10.245185,0.145669291338583,1153.0,283.0,0.0,0.0,1440.0,0.0,801.0,639.3,544.0,BNKI4,Bankston - Park Farm Winery (Vineyard),425175,-909142,30693216,"Apr 11, 2017",,ISUSM,
GVNI4,738079,66.9000019999999,35.39999984,0.0,0.0,0.0,15.99,0.0,4.469406,14.117328,0.0066141724409448,164.3,262.4,1440.0,0.0,0.0,1440.0,0.0,0.0,586.7,GVNI4,Glenwood - Blackwing Vineyard,410441,-957749,36668936,"May 03, 2017",,ISUSM,
GVNI4,738932,33.4999999399999,8.90000059999997,-17.0,0.0297499991332491,51.0,9.0,0.0,7.878503,19.998243,0.0055905511811023,186.2,260.6,1440.0,0.0,0.0,1440.0,0.0,0.0,607.7,GVNI4,Glenwood - Blackwing Vineyard,410441,-957749,36668936,"May 03, 2017",,ISUSM,
OSTI4,738873,43.7089999999999,16.2499999999999,40.57,69.29416624705,92.3,6223.0,0.0,2.2190444,17.12825,0.0267322818897638,274.2,278.3,594.8,845.0,0.0,39.0,1175.0,226.5,661.7,OSTI4,Oskaloosa - Tassel Ridge (Vineyard),413158,-926485,24809186,"Mar 30, 2017",,ISUSM,
OSTI4,738746,71.5279999999999,62.78,99.3,99.8000001907349,100.0,14.03,0.01,3.916882,12.963067,0.0880708661417323,277.0,291.3,143.3,1296.0,0.5,0.0,0.0,1440.0,602.8,OSTI4,Oskaloosa - Tassel Ridge (Vineyard),413158,-926485,24809186,"Mar 30, 2017",,ISUSM,
BNKI4,738879,53.1679999999999,38.2747999999999,99.6,99.820834795634,99.9,1229.0,0.5,5.413395,15.141847,0.0051574803149606,1036.0,342.1,0.0,0.0,1440.0,0.0,196.0,1244.0,586.3,BNKI4,Bankston - Park Farm Winery (Vineyard),425175,-909142,30693216,"Apr 11, 2017",,ISUSM,
OSTI4,737670,88682.0,59.9179999999999,24.69,68.0287512143453,99.4,20.94,0.0,2.6664326,9.791086,0.201653515748032,275.2,279.3,639.3,335.3,465.5,90.0,802.0,548.5,601.2,OSTI4,Oskaloosa - Tassel Ridge (Vineyard),413158,-926485,24809186,"Mar 30, 2017",,ISUSM,
BNKI4,739129,81.8599999999999,54.6619999999999,48.61,83.9095822970073,99.8,16.9,0.0,0.6375279,6.1672435,0.140314964566929,1170.0,275.5,0.0,0.0,1440.0,670.8,359.5,409.8,535.4,BNKI4,Bankston - Park Farm Winery (Vineyard),425175,-909142,30693216,"Apr 11, 2017",,ISUSM,
BNKI4,738678,76316.0,58.3339999999999,25.53,58.7687499523163,99.7,20.59,0.02,1.0468879,8.404183,0.180314976377953,2411.0,270.4,0.0,0.0,1440.0,1173.0,186.0,81.5,520.0,BNKI4,Bankston - Park Farm Winery (Vineyard),425175,-909142,30693216,"Apr 11, 2017",,ISUSM,
BNKI4,739197,56.8939999999999,33.1538,72.27,95.2841663360596,99.8,16.81076,0.04,0.87688047,7.8762655,0.0616141653543307,1089.0,306.3,0.0,0.0,1440.0,0.0,618.8,821.0,601.6,BNKI4,Bankston - Park Farm Winery (Vineyard),425175,-909142,30693216,"Apr 11, 2017",,ISUSM,
BNKI4,737742,37697.0,19.8266,43.51,68.3616658846537,91.9,11.7,0.0,2.0736434,9.471205,0.0464173228346457,2576.0,272.2,0.0,0.0,1440.0,986.0,454.0,0.0,606.0,BNKI4,Bankston - Park Farm Winery (Vineyard),425175,-909142,30693216,"Apr 11, 2017",,ISUSM,
OSTI4,738226,25.3597999999999,4.27999999999998,44.77,59.9774996439616,76.94,18.97,0.0,6.1426373,19.03636,0.029291337007874,272.8,274.1,1440.0,0.25,0.0,799.8,640.3,0.0,719.2,OSTI4,Oskaloosa - Tassel Ridge (Vineyard),413158,-926485,24809186,"Mar 30, 2017",,ISUSM,
BNKI4,737492,66632.0,41.18,29.61,44.4869564719822,58.97,16.01,0.0,6.8360887,20.289045,0.180472440944882,2609.0,271.6,0.0,0.0,1440.0,1440.0,0.0,0.0,493.3,BNKI4,Bankston - Park Farm Winery (Vineyard),425175,-909142,30693216,"Apr 11, 2017",,ISUSM,
BNKI4,737588,83516.0,52646.0,30.79,61.0829167366028,97.4,2.0085153,0.0,1.1139961,7.5988855,0.25275588976378,1993.0,269.9,0.0,0.0,1440.0,1234.0,68.5,137.8,494.6,BNKI4,Bankston - Park Farm Winery (Vineyard),425175,-909142,30693216,"Apr 11, 2017",,ISUSM,
AHTI4,739126,87.600002,65.8579999999999,204.0,0.238000005483627,272.0,20.79,0.0,3.3285668,11.663405,0.26251968503937,1092.0,1670.0,0.0,0.0,1440.0,0.0,0.0,1440.0,1021.0,AHTI4,Ames - Horticulture (Vineyard),421081,-93586,306091,"Nov 28, 2016",,ISUSM,
AHTI4,739332,57.0000002,21.4999997,187.0,0.218166667968035,255.0,17.72,0.0,7.5094075,20.982496,0.0091338586614173,1028.0,1087.0,0.0,0.0,1440.0,0.0,0.0,1440.0,1017.0,AHTI4,Ames - Horticulture (Vineyard),421081,-93586,306091,"Nov 28, 2016",,ISUSM,
BNKI4,738137,50.99,31.3483999999999,45.3,61.1016666094462,76.72,8.562971,0.0,1.9975874,11.151146,0.0244488208661417,2163.0,277.0,0.0,0.0,1440.0,482.0,958.0,0.0,600.8,BNKI4,Bankston - Park Farm Winery (Vineyard),425175,-909142,30693216,"Apr 11, 2017",,ISUSM,
