station,valid,in_high,in_low,in_rh_min,in_rh,in_rh_max,in_solar_mj,in_precip,in_speed,in_gust,in_et,out_lwmv_1,out_lwmv_2,out_lwmdry_1_tot,out_lwmcon_1_tot,out_lwmwet_1_tot,out_lwmdry_2_tot,out_lwmcon_2_tot,out_lwmwet_2_tot,out_bpres_avg
BNKI4,2020-01-01,41.7956,14.6119999999999,58.57,80.3020828564962,98.7,7883,0.020000001,4.0085964,13.298609,0.0407086614173228,2559,274.2,0,0,1440,435.8,399.8,604.5,581.8
AHTI4,2020-01-01,46.9039999999999,18.3956,57.16,72.5533334414164,93.1,6341,0,6.3529096,16.821789,0.0500787322834646,277.6,276.9,0,1013,427,11.75,1158,270,1003
OSTI4,2020-01-01,48488,24305,51.99,69.8079172770182,87.8,7031,0,9.281064,23.84578,0.073267720472441,274.3,276,847,593.5,0,0.25,1440,0,692.5
GVNI4,2020-01-01,47.2279999999999,22.7000002999999,54.12,70.1574997901917,82.5,7518,0,6.028553,18.029737,0.0485826771653543,159.5,274.1,1440,0,0,862,578.3,0,599.6
OSTI4,2020-01-02,49.7119999999999,34.9573999999999,62.72,78.3891306338103,90.1,7949,0,5.413395,13.898108,0.0479133858267717,275.3,276.7,347.5,539.3,0,60,827,0,658.5
BNKI4,2020-01-02,45905,32.4914,69.05,85.0370829900106,93,5907,0,2.386815,10.902845,0.0202755854330709,2393,275.5,0,0,1440,416.3,1024,0,563.2
AHTI4,2020-01-02,44.9293999999999,30.7922,75.65,84.3179159164429,89.2,5637,0,4.6438875,14.014429,0.0272047244094488,278.3,276.9,0,1434,6.5,21.25,1419,0,1004
GVNI4,2020-01-02,43.8655999999999,30.8912,72.88,81.5216668446859,91,6422,0,4.88324,17.202068,0.0353149606299213,167.8,287.1,1440,0,0,306.5,1125,8.75,599.7
OSTI4,2020-01-03,36.9194,30.7237999999999,73.33,88.7095836003621,92.8,2405,0,4.0510983,15.51989,0.0119291350393701,275.7,277.4,0,1415,25.25,0,1253,187.3,697.7
GVNI4,2020-01-03,41.3024,25.5541999999999,59.11,80.1529162724813,96.2,5005,0,7.733102,24.136583,0.0420472480314961,161.6,274.2,1440,0,0,467.3,389.8,583,603.9
BNKI4,2020-01-03,36.6043999999999,28031,70.21,85.5970837275187,99.3,3782,0.14,1.0893898,6.080003,0.0114566929133858,2122,279.7,0,0,1440,487.5,953,0,587.6
AHTI4,2020-01-03,34.5919999999999,29.4458,87,90.8125,97.6,2.29,0.16999999,4.5991488,18.23106,0.0134645637795276,280.3,283,0,1217,223.5,0,1256,184.3,1013
BNKI4,2020-01-04,31.6453999999999,22.6291999999999,80.1,93.7250003814697,99.4,2235,0.05,1.4159831,7.4825644,0.0100787381889764,2365,276.3,0,0,1440,286.5,1154,0,600.8
